DateTime;Value
2020-06-05 17:44:17;-1,000795942394122
2020-06-05 17:44:18;3,023789559708776
2020-06-05 17:44:19;4,106415948142916
2020-06-05 17:44:20;4,251860363877238
2020-06-05 17:44:21;-2,798550561487896
2020-06-05 17:44:22;1,9986059181502425
2020-06-05 17:44:23;4,465975262718757
2020-06-05 17:44:24;3,4482088189112914
2020-06-05 17:44:25;4,38263569776594
2020-06-05 17:44:26;1,519905438823952
2020-06-05 18:00:00;-1,000795942394122
2020-06-05 18:10:00;3,023789559708776
2020-06-05 18:20:00;4,106415948142916
2020-06-05 18:30:00;4,251860363877238
2020-06-05 18:40:00;-2,798550561487896
2020-06-05 18:50:00;1,9986059181502425
2020-06-05 19:00:00;4,465975262718757
2020-06-05 19:10:00;3,4482088189112914
2020-06-05 19:20:00;4,38263569776594
2020-06-05 20:48:30;1,519905438823952
